[1090] [0.290264, 1.38533] [-0.925553, -1.39682]
[1100] [0.279675, 1.3911] [-0.929374, -1.40264]
[1110] [0.269052, 1.3967] [-0.933081, -1.40829]
[1120] [0.258396, 1.40213] [-0.936674, -1.41377]
[1130] [0.247708, 1.40738] [-0.940154, -1.41908]
[1140] [0.23699, 1.41247] [-0.94352, -1.42421]
[1150] [0.226243, 1.41738] [-0.94677, -1.42917]
[1160] [0.215469, 1.42212] [-0.949906, -1.43396]
[1170] [0.204668, 1.42668] [-0.952926, -1.43857]
[1180] [0.193842, 1.43107] [-0.95583, -1.44301]
[1190] [0.182992, 1.43529] [-0.958618, -1.44727]
[1200] [0.17212, 1.43933] [-0.961289, -1.45135]
[1210] [0.161226, 1.4432] [-0.963844, -1.45525]
[1220] [0.150313, 1.44689] [-0.966281, -1.45898]
[1230] [0.139382, 1.4504] [-0.968601, -1.46253]
[1240] [0.128433, 1.45374] [-0.970804, -1.46591]
[1250] [0.117469, 1.4569] [-0.972888, -1.4691]
[1260] [0.106491, 1.45988] [-0.974854, -1.47211]
[1270] [0.0954991, 1.46268] [-0.976702, -1.47495]
[1280] [0.0844958, 1.46531] [-0.978431, -1.4776]
[1290] [0.0734821, 1.46776] [-0.980041, -1.48008]
[1300] [0.0624595, 1.47002] [-0.981533, -1.48237]
[1310] [0.0514291, 1.47211] [-0.982905, -1.48449]
[1320] [0.0403924, 1.47402] [-0.984157, -1.48642]
[1330] [0.0293507, 1.47575] [-0.985291, -1.48817]
[1340] [0.0183054, 1.4773] [-0.986304, -1.48974]
[1350] [0.00725786, 1.47867] [-0.987198, -1.49113]
[1360] [-0.00379065, 1.47986] [-0.987972, -1.49234]
[1370] [-0.0148387, 1.48086] [-0.988626, -1.49337]
[1380] [-0.0258851, 1.48169] [-0.98916, -1.49421]
[1390] [-0.0369283, 1.48234] [-0.989574, -1.49487]
[1400] [-0.0479671, 1.48281] [-0.989868, -1.49535]
[1410] [-0.059, 1.48309] [-0.990042, -1.49565]
[1420] [-0.0700258, 1.4832] [-0.990095, -1.49576]
[1430] [-0.0810431, 1.48312] [-0.990029, -1.4957]
[1440] [-0.0920506, 1.48286] [-0.989842, -1.49545]
[1450] [-0.103047, 1.48243] [-0.989535, -1.49502]
[1460] [-0.114031, 1.48181] [-0.989109, -1.4944]
[1470] [-0.125001, 1.48101] [-0.988562, -1.49361]
[1480] [-0.135955, 1.48003] [-0.987895, -1.49263]
[1490] [-0.146893, 1.47887] [-0.987109, -1.49147]
[1500] [-0.157814, 1.47753] [-0.986203, -1.49013]
[1510] [-0.168715, 1.47601] [-0.985177, -1.48861]
[1520] [-0.179595, 1.47431] [-0.984031, -1.4869]
[1530] [-0.190454, 1.47243] [-0.982767, -1.48502]
[1540] [-0.201289, 1.47038] [-0.981383, -1.48295]
[1550] [-0.2121, 1.46814] [-0.97988, -1.4807]
[1560] [-0.222886, 1.46572] [-0.978259, -1.47828]
[1570] [-0.233644, 1.46313] [-0.976518, -1.47567]
[1580] [-0.244373, 1.46035] [-0.97466, -1.47288]
[1590] [-0.255073, 1.4574] [-0.972683, -1.46991]
[1600] [-0.265742, 1.45427] [-0.970588, -1.46677]
[1610] [-0.276378, 1.45096] [-0.968376, -1.46344]
[1620] [-0.286981, 1.44748] [-0.966046, -1.45994]
[1630] [-0.297549, 1.44382] [-0.9636, -1.45626]
[1640] [-0.30808, 1.43999] [-0.961036, -1.4524]
[1650] [-0.318574, 1.43598] [-0.958356, -1.44837]
[1660] [-0.32903, 1.43179] [-0.95556, -1.44416]
[1670] [-0.339445, 1.42743] [-0.952648, -1.43977]
